iter	Logloss
0	0.6684773493
1	0.6440371025
2	0.6185056409
3	0.5986206509
4	0.5792162843
5	0.5630772323
6	0.5454786656
7	0.5268662539
8	0.5143900549
9	0.5017727473
10	0.4898255964
11	0.4784925276
12	0.4656416672
13	0.4549163887
14	0.446551268
15	0.4368154772
16	0.4285954796
17	0.4209601898
18	0.4142591426
19	0.4065560883
20	0.4013380229
21	0.3955672619
22	0.3898505132
23	0.3826424063
24	0.3767761649
25	0.3733257089
26	0.3684853938
27	0.3624877201
28	0.3578024178
29	0.3526607401
30	0.3478093499
31	0.3425453791
32	0.3377424724
33	0.3336052124
34	0.3286027596
35	0.3249751052
36	0.320620648
37	0.3169547532
38	0.3141866728
39	0.3109291535
40	0.3086407686
41	0.3059308982
42	0.3039175961
43	0.3012830306
44	0.2983610618
45	0.2953596453
46	0.2917815707
47	0.2900656829
48	0.2872026661
49	0.2848111162
50	0.2829457992
51	0.2809133059
52	0.279344246
53	0.2775236128
54	0.2753846675
55	0.2738932231
56	0.271343396
57	0.2705759371
58	0.2692394142
59	0.2675298294
60	0.26542857
61	0.263815826
62	0.2617551854
63	0.2599150596
64	0.2584024558
65	0.2562101331
66	0.2543746177
67	0.2529600571
68	0.2517455318
69	0.2501311621
70	0.2487630023
71	0.2475877145
72	0.2463457305
73	0.2453002107
74	0.2438918846
75	0.2424295082
76	0.2414293625
77	0.2404496732
78	0.2390315447
79	0.2380430781
80	0.2369628024
81	0.23600231
82	0.2350096827
83	0.2338388433
84	0.2327933574
85	0.2311696907
86	0.2301659861
87	0.2289379649
88	0.2274975286
89	0.2263084066
90	0.2253142869
91	0.2238864409
92	0.223228253
93	0.2223298818
94	0.2209483485
95	0.219667667
96	0.2184476566
97	0.2180084104
98	0.2170838691
99	0.2157938563
100	0.215184042
101	0.2140378994
102	0.21319678
103	0.212498726
104	0.211325731
105	0.2104109504
106	0.2094794152
107	0.2087393514
108	0.2077843795
109	0.2064917041
110	0.2057992436
111	0.2048869249
112	0.2041622478
113	0.2032313513
114	0.2021009052
115	0.2009880696
116	0.2001134356
117	0.1986525764
118	0.1980184213
119	0.1976071352
120	0.1973315125
121	0.196660034
122	0.1958477666
123	0.1949411641
124	0.193922895
125	0.1935111797
